,k,l,flip and rotation,brightness
396,3,2,0,-4.48583984375
397,2,5,0,18.94921875000024
398,1,4,0,-7.559570312499801
399,2,5,0,71.67578125000026
400,3,3,0,-13.81787109375
401,2,5,0,59.41015625000027
402,2,2,0,1.3500976562501066
403,5,0,0,-3.84423828125
404,5,5,0,-12.87988281249994
405,1,1,0,8.10400390625
406,0,3,0,1.000488281250064
407,1,3,0,-35.21923828125
408,2,5,0,39.23046875000027
409,1,4,0,5.338867187500142
410,4,4,0,-12.28564453125
411,0,1,0,-7.40771484375
412,0,0,0,1.8144531250001137
413,1,4,0,-6.622070312499801
414,2,5,0,91.37890625000023
415,2,5,0,485.4492187500001
416,5,1,0,12.875
417,2,5,0,74.85546875000026
418,3,2,0,-2.74365234375
419,2,1,0,9.9189453125
420,3,2,0,7.05322265625
421,5,4,0,11.958984375000192
422,4,2,0,14.028320312500025
423,4,4,0,-0.07470703125
424,2,4,0,-8.3056640625
425,1,4,0,-44.39550781249983
426,2,1,0,14.2236328125
427,4,1,0,6.03076171875
428,1,4,0,-44.30957031249983
429,1,4,0,-36.8095703124998
430,2,5,0,329.4648437500001
431,2,5,0,562.4179687500001
432,5,3,0,13.095703125000028
433,2,5,0,86.98828125000026
434,2,1,0,17.1923828125
435,3,2,0,-15.76708984375
436,0,0,0,7.6035156250001705
437,5,3,0,6.806640625000018
438,4,2,0,-54.76074218749994
439,3,2,0,-12.54052734375
440,1,3,0,-26.89111328125
441,1,3,0,3.06201171875
442,4,2,0,-53.31542968749994
443,3,2,0,5.53759765625
444,2,5,0,8.636718750000242
445,1,4,0,-57.3408203124998
446,2,5,0,481.0195312500001
447,2,5,0,545.9023437500001
448,2,1,0,16.1845703125
449,2,5,0,55.47265625000026
450,0,1,0,-13.71240234375
451,0,1,0,-12.86083984375
452,0,5,0,-2.919433593749872
453,4,5,0,-3.1455078125
454,4,2,0,-77.98730468749996
455,0,1,0,0.70947265625
456,1,3,0,-21.22705078125
457,2,5,0,115.61328125000024
458,1,3,0,-31.06298828125
459,1,2,0,7.703613281249929
460,1,3,0,1.05419921875
461,2,3,0,9.151367187499904
462,2,5,0,415.5039062500001
463,1,2,0,-2.2104492187500853
464,3,5,0,14.4443359375
465,2,5,0,72.35546875000027
466,4,2,0,-3.1357421874999787
467,4,2,0,2.8876953125000604
468,1,2,0,-6.202636718750114
469,4,0,0,-0.05029296875007816
470,4,2,0,-27.456054687499943
471,0,2,0,1.4726562500002558
472,1,3,0,-18.08642578125
473,2,5,0,58.44921875000026
